CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/19/2016,14:40,QUEENS,11355,40.753166,-73.82194,"(40.753166, -73.82194)",KISSENA BOULEVARD               ,ELDER AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3543201,Sedan,Sedan,,,
10/19/2016,20:41,,,40.82771,-73.87517,"(40.82771, -73.87517)",STRATFORD AVENUE                ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3543705,Sedan,,,,
10/19/2016,11:40,MANHATTAN,10032,40.83089,-73.941376,"(40.83089, -73.941376)",WEST 155 STREET                 ,SAINT NICHOLAS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543607,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,10:30,QUEENS,11385,40.702595,-73.8553,"(40.702595, -73.8553)",WOODHAVEN BOULEVARD             ,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3542903,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
10/19/2016,19:50,QUEENS,11419,40.686234,-73.82418,"(40.686234, -73.82418)",LIBERTY AVENUE                  ,LEFFERTS BOULEVARD,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3543430,Sedan,,,,
10/19/2016,11:05,QUEENS,11354,40.770435,-73.83421,"(40.770435, -73.83421)",WHITESTONE EXPRESSWAY           ,FARRINGTON STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,,,,3543036,Sedan,Sedan,,,
10/19/2016,22:00,,,40.69934,-73.95711,"(40.69934, -73.95711)",BEDFORD AVENUE                  ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3543411,Bus,Sedan,,,
10/19/2016,14:10,,,,,,BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543686,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/19/2016,6:50,,,40.760567,-73.9155,"(40.760567, -73.9155)",42 STREET                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543093,Sedan,,,,
10/19/2016,13:15,QUEENS,11422,40.665558,-73.72985,"(40.665558, -73.72985)",HOOK CREEK BOULEVARD            ,SUNRISE HIGHWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3543256,Sedan,Sedan,,,
10/19/2016,16:10,,,40.699303,-73.93564,"(40.699303, -73.93564)",BUSHWICK AVENUE                 ,,,1,0,0,0,0,0,1,0,Other Vehicular,,,,,3544061,Motorbike,,,,
10/19/2016,13:55,,,40.855785,-73.90558,"(40.855785, -73.90558)",JEROME AVENUE                   ,,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3543026,Tractor Truck Diesel,,,,
10/19/2016,16:55,,,40.65708,-73.95651,"(40.65708, -73.95651)",BEDFORD AVENUE                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3551923,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,1:05,MANHATTAN,10065,40.764988,-73.96116,"(40.764988, -73.96116)",EAST 66 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543077,Taxi,Sedan,,,
10/19/2016,19:17,MANHATTAN,10031,40.82902,-73.94485,"(40.82902, -73.94485)",WEST 151 STREET                 ,AMSTERDAM AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3543937,Sedan,,,,
10/19/2016,11:30,QUEENS,11355,40.757687,-73.818825,"(40.757687, -73.818825)",,,42-47     PARSONS BOULEVARD             ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3542975,Tow Truck / Wrecker,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,8:30,BROOKLYN,11215,40.675076,-73.98801,"(40.675076, -73.98801)",3 STREET                        ,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Oversized Vehicle,,,,3542868,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,11:20,BROOKLYN,11228,40.616047,-74.025734,"(40.616047, -74.025734)",DAHLGREN PLACE                  ,92 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3543393,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/19/2016,17:00,,,,,,LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3543625,Sedan,Taxi,,,
